Unnamed: 0,Company,TypeName,Inches,Price
0,Apple,Ultrabook,13.3,71378.6832
1,Apple,Ultrabook,13.3,47895.5232
2,HP,Notebook,15.6,30636
3,Apple,Ultrabook,15.4,135195.336
4,Apple,Ultrabook,13.3,96095.808
5,Acer,Notebook,15.6,21312
6,Apple,Ultrabook,15.4,114017.6016
7,Apple,Ultrabook,13.3,61735.536
8,Asus,Ultrabook,14,79653.6
9,Acer,Ultrabook,14,41025.6
10,HP,Notebook,15.6,20986.992
11,HP,Notebook,15.6,18381.0672
12,Apple,Ultrabook,15.4,130001.6016
13,Dell,Notebook,15.6,26581.392
14,Apple,Ultrabook,12,67260.672
15,Apple,Ultrabook,13.3,80908.344
16,Dell,Notebook,15.6,39693.6
17,Apple,Ultrabook,15.4,152274.24
18,Lenovo,Notebook,15.6,26586.72
19,Dell,Ultrabook,13.3,52161.12
21,Lenovo,Gaming,15.6,53226.72
22,HP,Notebook,15.6,13746.24
23,Dell,2 in 1 Convertible,13.3,43636.32
24,HP,Ultrabook,15.6,35111.52
25,Dell,Notebook,15.6,22305.1392
26,Apple,Ultrabook,13.3,58554.72
27,Dell,Notebook,15.6,42624
28,Dell,Ultrabook,15.6,69157.44
29,HP,Notebook,17.3,47738.88
30,Chuwi,Notebook,15.6,13053.0672
31,Asus,Notebook,14,10602.72
32,HP,Notebook,17.3,23389.92
33,Dell,Ultrabook,13.3,99580.32
34,Apple,Ultrabook,13.3,53173.44
35,Lenovo,Notebook,14,13266.72
36,Acer,Notebook,15.6,19553.76
37,Dell,Notebook,17.3,52161.12
38,HP,Notebook,15.6,26037.4032
39,HP,Notebook,15.6,46833.12
40,Asus,Notebook,15.6,20725.92
41,Dell,Gaming,15.6,79866.72
42,Asus,Notebook,15.6,27864.9072
43,Acer,Notebook,15.6,36336.96
44,Dell,2 in 1 Convertible,17.3,53226.72
45,Apple,Ultrabook,13.3,75604.32
47,Asus,Gaming,17.3,69210.72
48,Dell,Notebook,15.6,34045.92
49,Asus,Notebook,17.3,24828.48
51,Acer,Notebook,15.6,44808.48
52,HP,Notebook,15.6,21231.5472
53,HP,Notebook,13.3,58767.84
54,Acer,Notebook,15.6,20459.52
55,Dell,Notebook,15.6,40908.384
56,HP,Notebook,15.6,23389.92
57,Asus,Notebook,15.6,31232.2032
58,MSI,Gaming,17.3,130482.72
59,Asus,Notebook,15.6,22111.2
60,Dell,Notebook,17.3,69210.72
61,Dell,Ultrabook,14,46833.12
62,Lenovo,Notebook,14,31914.72
63,Asus,Notebook,14,50136.48
64,HP,Notebook,15.6,36763.2
65,Asus,Ultrabook,15.6,105654.24
66,HP,Notebook,15.6,23373.4032
67,HP,Notebook,14,12201.12
68,Lenovo,Notebook,15.6,29250.72
69,Asus,Gaming,17.3,50562.72
70,Microsoft,Ultrabook,13.5,58021.92
71,Dell,Ultrabook,13.3,50882.4
72,Dell,Notebook,15.6,46353.6
73,MSI,Gaming,17.3,58341.6
74,Acer,Notebook,14,20725.92
75,Asus,Gaming,15.6,50562.72
76,Lenovo,Notebook,15.6,27652.32
77,Dell,Notebook,15.6,45554.4
78,Acer,Notebook,15.6,28238.4
79,HP,Notebook,17.3,52054.56
80,Dell,Ultrabook,15.6,58403.4048
81,Apple,Ultrabook,12,80452.8
82,HP,Notebook,14,45820.8
83,Lenovo,Notebook,15.6,21258.72
84,Acer,Notebook,15.6,21045.6
85,Dell,Gaming,15.6,71874.72
86,HP,Ultrabook,15.6,37242.72
87,HP,Notebook,15.6,31914.1872
88,Asus,Gaming,15.6,77202.72
89,Dell,Ultrabook,13.3,87858.72
90,Asus,Gaming,15.6,37242.72
91,Acer,Notebook,15.6,36709.92
92,HP,Notebook,13.3,63776.16
93,Dell,Gaming,15.6,63669.6
94,Asus,Ultrabook,14,55890.72
95,Acer,2 in 1 Convertible,13.3,45128.16
96,Dell,Notebook,15.6,31962.672
97,Dell,Notebook,15.6,25840.8
98,Asus,Notebook,15.6,30742.56
99,HP,Gaming,15.6,66546.72
100,HP,Notebook,15.6,38308.32
101,HP,Notebook,15.6,18594.72
102,Dell,Notebook,15.6,34472.16
103,HP,Ultrabook,13.3,59620.32
104,Microsoft,Ultrabook,13.5,71395.2
105,HP,Notebook,14,35111.52
106,Lenovo,Notebook,15.6,22105.872
107,Asus,Ultrabook,14,63563.04
108,MSI,Gaming,15.6,69210.72
109,Lenovo,Notebook,14,78854.4
110,Asus,Ultrabook,15.6,67239.36
111,Dell,Ultrabook,13.3,73473.12
112,Lenovo,2 in 1 Convertible,13.3,74538.72
113,HP,Notebook,14,38468.16
114,Dell,Ultrabook,13.3,86793.12
116,HP,Notebook,14,57755.52
117,Dell,Notebook,15.6,60223.9824
118,Asus,Notebook,17.3,30049.92
119,Asus,Notebook,15.6,59567.04
120,Acer,Notebook,15.6,25521.12
121,MSI,Gaming,15.6,119427.12
122,Lenovo,Notebook,15.6,33513.12
123,HP,Notebook,17.3,67718.88
124,Acer,Notebook,15.6,24029.28
126,HP,Notebook,14,43263.36
127,Asus,Notebook,14,14811.3072
128,Dell,Notebook,17.3,74378.88
129,HP,Notebook,17.3,49443.84
130,Dell,Notebook,15.6,34045.3872
131,Dell,Notebook,15.6,23922.72
132,Acer,Ultrabook,14,47099.52
133,Acer,Notebook,15.6,30476.16
134,HP,Notebook,15.6,31861.44
135,HP,Notebook,14,52640.64
136,Lenovo,Notebook,15.6,13445.7408
137,Asus,Gaming,17.3,49976.64
138,Lenovo,Notebook,15.6,26586.72
139,HP,Notebook,13.3,37242.72
140,Acer,Notebook,17.3,34898.4
141,Lenovo,Notebook,14,59461.5456
142,Lenovo,Gaming,15.6,46300.32
143,Toshiba,Notebook,15.6,32074.56
144,HP,Notebook,15.6,19660.32
145,Asus,Ultrabook,14,58554.72
146,HP,Ultrabook,12.5,107305.92
147,Asus,Notebook,15.6,18328.32
149,Acer,Notebook,15.6,23816.16
150,Dell,Gaming,15.6,66560.5728
151,Dell,Gaming,15.6,47898.72
152,Lenovo,Notebook,15.6,26533.44
153,MSI,Gaming,17.3,100699.2
154,HP,Ultrabook,14,57648.96
155,HP,Notebook,15.6,32980.32
156,Lenovo,2 in 1 Convertible,14,33513.12
157,Asus,2 in 1 Convertible,13.3,70063.2
158,Dell,2 in 1 Convertible,15.6,55890.72
159,Toshiba,Notebook,15.6,23816.16
160,Asus,Notebook,15.6,21471.84
161,Acer,Notebook,17.3,42890.4
162,Dell,Notebook,15.6,38787.84
163,Lenovo,Gaming,15.6,57489.12
164,Acer,Notebook,15.6,18541.44
165,MSI,Gaming,15.6,95850.72
166,Acer,Notebook,15.6,19367.8128
167,Dell,Gaming,15.6,56502.9072
168,Acer,Notebook,17.3,45501.12
169,HP,Notebook,13.3,40173.12
170,Huawei,Ultrabook,13,71874.72
171,HP,Notebook,17.3,37242.72
172,Lenovo,Notebook,15.6,16463.52
173,Toshiba,Notebook,15.6,26053.92
174,HP,Notebook,17.3,49177.44
175,Dell,Notebook,15.6,24455.52
176,Acer,Notebook,15.6,23922.72
177,MSI,Gaming,18.4,149130.72
178,Lenovo,Notebook,15.6,43316.64
179,HP,2 in 1 Convertible,13.3,79866.72
180,Dell,Notebook,15.6,55890.72
181,Dell,Ultrabook,13.3,74538.72
182,Lenovo,2 in 1 Convertible,13.9,98514.72
183,Toshiba,Notebook,15.6,42251.04
184,Xiaomi,Notebook,15.6,63882.72
185,Dell,Notebook,17.3,82530.72
186,Dell,Notebook,15.6,127712.16
187,Lenovo,Gaming,15.6,41505.12
188,Acer,Ultrabook,13.3,52693.92
189,Dell,Notebook,17.3,57808.8
191,Vero,Notebook,14,13852.8
192,Xiaomi,Ultrabook,13.3,53274.672
193,Lenovo,Notebook,17.3,37189.44
194,Dell,2 in 1 Convertible,13.3,44701.92
195,HP,Notebook,17.3,48697.92
196,Razer,Gaming,17.3,324954.72
197,HP,Notebook,13.3,51095.52
198,HP,Gaming,17.3,73473.12
199,HP,Notebook,17.3,55677.6
200,Dell,Gaming,15.6,98301.6
201,Lenovo,Notebook,15.6,26267.04
202,Acer,Notebook,15.6,39533.76
203,Lenovo,Gaming,15.6,93186.72
204,Dell,Workstation,15.6,162770.4
205,Lenovo,Gaming,15.6,74485.44
206,Dell,Notebook,15.6,23389.92
207,Dell,Ultrabook,13.3,103842.72
208,Dell,Ultrabook,13.3,77202.72
210,Acer,Notebook,15.6,41505.12
211,Asus,Gaming,17.3,74964.96
212,HP,Notebook,15.6,18594.72
213,Lenovo,Notebook,15.6,29250.72
214,Huawei,Ultrabook,13,79866.72
215,Dell,Ultrabook,13.3,49650.5664
216,Lenovo,Notebook,17.3,31381.92
217,HP,Notebook,14,54931.68
218,Dell,Ultrabook,14,61218.72
219,Dell,2 in 1 Convertible,13.3,68145.12
220,Dell,Notebook,15.6,36089.208
221,Lenovo,2 in 1 Convertible,14,47898.72
222,Toshiba,Ultrabook,13.3,72620.64
223,HP,Notebook,15.6,42304.32
224,Dell,Gaming,17.3,130873.7952
225,Acer,Notebook,15.6,44328.96
226,Dell,Notebook,15.6,45768.0528
227,Asus,Notebook,15.6,40972.32
228,Asus,Notebook,17.3,47472.48
229,HP,Notebook,15.6,67612.32
230,Asus,Notebook,15.6,21258.1872
231,HP,Notebook,15.6,17582.4
232,Lenovo,Gaming,15.6,79866.72
233,Dell,Notebook,14,45767.52
234,Acer,2 in 1 Convertible,13.3,36709.92
235,Dell,Notebook,15.6,47898.72
236,Acer,Notebook,15.6,20779.2
237,Asus,Notebook,15.6,30636
238,Asus,Gaming,17.3,207259.2
239,Acer,Gaming,15.6,45074.88
240,Lenovo,Notebook,15.6,31381.92
241,Asus,Notebook,17.3,61005.6
242,Asus,Notebook,17.3,47365.92
243,Dell,Gaming,15.6,46833.12
244,Lenovo,2 in 1 Convertible,13.9,57489.12
245,Dell,Notebook,15.6,52480.8
246,HP,Notebook,15.6,29783.52
247,Asus,Gaming,17.3,159786.72
248,HP,Notebook,13.3,35964
249,Apple,Ultrabook,13.3,108691.2
250,Dell,2 in 1 Convertible,15.6,43636.32
251,Asus,Gaming,17.3,95850.72
252,Asus,Notebook,15.6,24988.32
253,Lenovo,2 in 1 Convertible,13.9,98514.72
254,Acer,Notebook,17.3,37402.56
255,Dell,Ultrabook,13.3,50562.72
256,HP,Notebook,15.6,23757.552
257,HP,Notebook,17.3,56423.52
258,MSI,Gaming,17.3,133146.72
259,Lenovo,2 in 1 Convertible,15.6,90522.72
260,Dell,Notebook,17.3,60845.76
261,Lenovo,Notebook,15.6,23656.32
262,HP,Notebook,15.6,38468.16
263,Dell,Notebook,15.6,35004.96
264,Dell,Notebook,15.6,30103.2
265,Dell,2 in 1 Convertible,15.6,42570.72
266,Asus,2 in 1 Convertible,13.3,79866.72
268,HP,Notebook,17.3,54239.04
269,Lenovo,Notebook,15.6,46886.4
270,Apple,Ultrabook,13.3,104370.192
271,Asus,Gaming,17.3,82530.72
272,Dell,Notebook,15.6,39164.5296
273,Lenovo,2 in 1 Convertible,14,133146.72
274,Toshiba,Notebook,15.6,43263.36
275,Dell,Notebook,15.6,37992.3696
276,Dell,Notebook,17.3,58554.72
277,Acer,Notebook,15.6,39693.6
278,Lenovo,Notebook,17.3,26053.92
279,Lenovo,Notebook,17.3,45234.72
280,Lenovo,Notebook,17.3,45767.52
281,Dell,Notebook,15.6,22803.84
282,Lenovo,Gaming,15.6,44169.12
283,Lenovo,Notebook,15.6,30849.12
284,Acer,Notebook,15.6,50669.28
285,Acer,Notebook,15.6,35111.52
286,Lenovo,Notebook,15.6,58448.16
287,Asus,Ultrabook,15.6,52054.56
288,Lenovo,Gaming,15.6,62817.12
289,Lenovo,Notebook,15.6,35112.0528
290,Acer,Notebook,15.6,10602.72
291,Asus,Gaming,17.3,63243.36
292,HP,Notebook,17.3,26053.92
293,Dell,Notebook,15.6,97449.12
294,Lenovo,Notebook,15.6,39373.92
295,Lenovo,Gaming,15.6,69210.72
296,Acer,Notebook,15.6,52161.12
297,Dell,Workstation,17.3,153705.3408
298,Lenovo,Notebook,15.6,26586.72
299,Asus,Ultrabook,15.6,78215.04
300,Asus,Notebook,14,27119.52
301,Asus,Gaming,17.3,113060.16
302,Lenovo,Notebook,17.3,34578.72
303,Lenovo,Notebook,15.6,29250.72
304,Asus,Gaming,15.6,67399.2
305,Lenovo,Notebook,15.6,19180.2672
306,HP,2 in 1 Convertible,13.3,105228
307,Toshiba,Notebook,15.6,55571.04
308,Lenovo,Notebook,15.6,43636.32
309,HP,Notebook,15.6,24988.32
310,Lenovo,Notebook,13.3,53226.72
311,Dell,Ultrabook,13.3,133146.72
312,MSI,Gaming,15.6,111834.72
313,Acer,Notebook,15.6,24988.32
314,Asus,2 in 1 Convertible,11.6,14652
315,Dell,Notebook,15.6,44968.32
316,HP,2 in 1 Convertible,13.3,130482.72
317,Lenovo,Notebook,13.3,24503.472
318,HP,Notebook,14,52214.4
319,Acer,Notebook,11.6,25840.8
320,HP,Notebook,14,68837.76
321,Lenovo,Notebook,17.3,31381.92
322,Asus,Notebook,14,58288.32
323,HP,Notebook,15.6,48058.56
324,Acer,Notebook,15.6,35111.52
325,Lenovo,Notebook,14,15557.76
326,Acer,Notebook,15.6,29250.72
327,Asus,Ultrabook,15.6,55938.672
328,HP,Ultrabook,12.5,71128.8
329,Dell,Notebook,15.6,140605.92
330,MSI,Gaming,17.3,63882.72
331,Toshiba,Notebook,15.6,50243.04
332,Asus,Notebook,14,71075.52
333,Lenovo,Notebook,15.6,23922.72
334,Asus,Gaming,15.6,53226.72
335,HP,Notebook,14,67559.04
337,HP,Notebook,15.6,60952.32
338,Asus,Notebook,15.6,14651.4672
339,Dell,Notebook,15.6,60885.72
340,Dell,Notebook,15.6,14646.672
341,Lenovo,Notebook,15.6,47898.72
342,HP,Notebook,15.6,38148.48
343,Lenovo,2 in 1 Convertible,13.9,111834.72
344,Dell,Ultrabook,13.3,84129.12
345,Lenovo,Gaming,15.6,60153.12
346,HP,Notebook,14,14865.12
347,Dell,Ultrabook,15.6,85672.1088
348,Asus,2 in 1 Convertible,11.6,19980
349,Dell,Ultrabook,15.6,35324.64
351,HP,Notebook,15.6,69477.12
352,MSI,Gaming,17.3,75071.52
353,HP,Workstation,15.6,92615.0256
354,Toshiba,Notebook,15.6,74751.84
355,Dell,Notebook,15.6,51729.552
356,Lenovo,Notebook,15.6,17155.6272
357,Dell,Gaming,15.6,53226.72
358,Dell,Notebook,15.6,29696.6736
359,Dell,Notebook,14,76030.56
360,HP,Notebook,15.6,23389.92
361,Asus,Notebook,14,50349.6
362,Lenovo,Notebook,17.3,38308.32
363,HP,Notebook,15.6,34045.92
364,Lenovo,Notebook,15.6,26586.72
365,HP,Notebook,15.6,20725.92
366,Dell,Notebook,17.3,57808.8
367,Lenovo,Gaming,15.6,43103.52
368,Dell,Notebook,15.6,47898.72
369,HP,Ultrabook,14,93240
370,Asus,2 in 1 Convertible,15.6,58554.72
371,Acer,Notebook,15.6,22697.28
372,Asus,Gaming,17.3,117162.72
373,Lenovo,Notebook,17.3,26053.92
374,Dell,2 in 1 Convertible,13.3,46300.8528
375,HP,Notebook,15.6,26053.3872
376,Lenovo,Notebook,11.6,29463.84
377,Dell,Notebook,15.6,16463.52
378,Asus,Notebook,14,15238.08
379,Acer,Notebook,15.6,45074.88
380,HP,Gaming,17.3,63456.48
381,Lenovo,Notebook,15.6,21498.48
382,Asus,Gaming,15.6,88178.4
383,Lenovo,Notebook,14,58554.72
384,Asus,Ultrabook,13.3,93181.392
385,Lenovo,Ultrabook,14,121584.96
386,Lenovo,Notebook,13.3,29250.72
387,Dell,Workstation,15.6,72940.32
388,Dell,Workstation,15.6,113752.8
389,Lenovo,2 in 1 Convertible,14,133679.52
390,Asus,Gaming,17.3,55357.92
391,Asus,Gaming,17.3,84768.48
392,Acer,Notebook,15.6,36975.7872
393,MSI,Gaming,17.3,71874.72
394,Dell,Notebook,15.6,41498.1936
395,HP,Ultrabook,15.6,26586.72
396,Lenovo,Notebook,15.6,65510.9568
397,Lenovo,Notebook,14,49976.64
398,Dell,Workstation,15.6,144495.36
399,Lenovo,Ultrabook,14,139860
400,Lenovo,Notebook,15.6,16303.68
